accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ, timestamp
0.07, -0.61, 0.71, 103.29, -12.93, 25.43, 0.30, 0.26, 0.36, 35913
-0.14, -0.59, 0.46, 98.66, 4.02, 34.82, 0.31, 0.24, 0.36, 35923
-0.26, -0.51, 0.19, 107.01, 10.37, 32.62, 0.31, 0.24, 0.36, 35933
-0.37, -0.41, -0.00, 127.32, 8.29, 26.34, 0.31, 0.23, 0.37, 35943
-0.36, -0.39, 0.01, 165.55, -5.06, 14.39, 0.31, 0.22, 0.37, 35953
-0.15, -0.44, 0.57, 208.96, -20.43, 5.91, 0.30, 0.21, 0.38, 35963
0.09, -0.47, 1.45, 210.61, -42.93, 9.57, 0.30, 0.20, 0.39, 35973
0.14, -0.47, 2.01, 151.59, -46.59, 24.82, 0.30, 0.19, 0.39, 35983
-0.14, -0.52, 1.71, 85.43, -46.16, 33.66, 0.29, 0.18, 0.39, 35993
-0.35, -0.49, 1.03, 48.84, -32.44, 25.12, 0.29, 0.18, 0.39, 36003
-0.34, -0.44, 0.50, 55.18, -19.88, 15.67, 0.29, 0.18, 0.39, 36013
-0.32, -0.40, 0.39, 79.94, -12.32, 11.04, 0.29, 0.18, 0.40, 36023
-0.31, -0.35, 0.48, 89.82, -9.63, 5.00, 0.29, 0.17, 0.40, 36033
-0.25, -0.29, 0.42, 95.85, -8.54, -1.04, 0.29, 0.16, 0.40, 36043
-0.16, -0.28, 0.32, 115.43, -13.90, -4.82, 0.28, 0.15, 0.41, 36053
-0.04, -0.28, 0.50, 145.12, -23.35, -4.02, 0.28, 0.15, 0.41, 36063
0.10, -0.33, 1.12, 166.34, -36.28, 2.13, 0.27, 0.14, 0.41, 36073
0.11, -0.32, 1.67, 139.21, -44.39, 13.96, 0.27, 0.13, 0.41, 36083
-0.07, -0.32, 1.66, 89.88, -45.49, 23.54, 0.27, 0.12, 0.42, 36093
-0.32, -0.33, 1.22, 54.57, -33.78, 19.82, 0.27, 0.12, 0.42, 36103
-0.40, -0.32, 0.77, 55.06, -25.30, 6.28, 0.26, 0.12, 0.42, 36113
-0.29, -0.25, 0.71, 65.79, -25.06, -6.52, 0.26, 0.12, 0.41, 36123
-0.18, -0.20, 0.65, 74.15, -30.24, -12.44, 0.26, 0.11, 0.42, 36133
-0.13, -0.17, 0.54, 87.01, -32.13, -12.93, 0.25, 0.10, 0.42, 36143
-0.08, -0.20, 0.61, 108.96, -32.44, -15.49, 0.25, 0.09, 0.43, 36153
0.13, -0.19, 0.90, 124.27, -30.55, -13.48, 0.25, 0.09, 0.43, 36163
0.27, -0.19, 1.21, 126.46, -27.32, 1.71, 0.25, 0.08, 0.43, 36173
0.18, -0.17, 1.38, 111.65, -19.21, 22.07, 0.24, 0.07, 0.42, 36183
-0.07, -0.16, 1.31, 91.59, -8.05, 32.93, 0.24, 0.07, 0.42, 36193
-0.37, -0.14, 1.14, 76.65, 1.59, 25.85, 0.24, 0.06, 0.43, 36203
-0.46, -0.11, 0.92, 72.13, 5.55, 8.66, 0.24, 0.05, 0.43, 36213
-0.43, -0.09, 0.81, 77.26, 7.44, -7.32, 0.24, 0.05, 0.42, 36223
-0.29, -0.08, 0.80, 87.26, 0.37, -20.98, 0.23, 0.05, 0.42, 36233
-0.08, -0.12, 1.00, 94.88, -10.67, -29.02, 0.23, 0.04, 0.42, 36243
0.15, -0.13, 1.25, 92.68, -20.30, -25.67, 0.23, 0.03, 0.42, 36253
0.21, -0.13, 1.44, 75.73, -22.99, -11.04, 0.23, 0.02, 0.42, 36263
0.07, -0.15, 1.43, 53.11, -25.37, 2.07, 0.23, 0.02, 0.42, 36273
-0.06, -0.17, 1.24, 38.84, -29.51, 1.16, 0.22, 0.02, 0.42, 36283
-0.06, -0.14, 1.12, 37.99, -38.48, -2.32, 0.22, 0.02, 0.42, 36293
-0.04, -0.11, 1.14, 39.39, -32.87, -2.68, 0.22, 0.02, 0.42, 36303
-0.04, -0.10, 1.16, 35.06, -22.01, -2.20, 0.22, 0.02, 0.42, 36313
-0.06, -0.11, 1.09, 32.01, -9.15, -1.71, 0.22, 0.01, 0.42, 36323
-0.03, -0.12, 1.07, 34.70, -0.24, -2.99, 0.22, 0.01, 0.42, 36333
0.00, -0.14, 1.17, 35.91, 1.22, -2.62, 0.21, 0.01, 0.42, 36343
0.04, -0.13, 1.32, 26.10, 4.02, -1.52, 0.21, 0.01, 0.41, 36353
0.04, -0.11, 1.26, 12.01, 4.76, 1.52, 0.21, 0.01, 0.41, 36363
-0.04, -0.10, 1.09, 7.74, 1.65, 3.11, 0.21, 0.00, 0.42, 36373
-0.12, -0.11, 1.04, 11.34, -3.17, -1.65, 0.21, 0.00, 0.42, 36383
-0.07, -0.10, 1.07, 13.66, -8.05, -6.89, 0.21, 0.00, 0.42, 36393
0.03, -0.11, 1.12, 13.17, -2.50, -7.68, 0.21, 0.00, 0.41, 36403
0.10, -0.12, 1.13, 9.88, 1.04, -2.62, 0.21, 0.00, 0.41, 36413
0.09, -0.12, 1.13, 7.20, 2.56, 3.17, 0.21, 0.00, 0.42, 36423
0.02, -0.11, 1.11, 4.15, 2.13, 6.22, 0.21, -0.00, 0.42, 36433
-0.03, -0.10, 1.07, 2.56, 3.84, 6.71, 0.21, -0.00, 0.42, 36443
-0.08, -0.08, 1.02, 1.95, 3.60, 5.43, 0.21, -0.00, 0.41, 36453
-0.13, -0.10, 0.94, 6.28, -0.30, 1.34, 0.21, 0.00, 0.41, 36463
-0.05, -0.08, 1.00, 9.76, 1.52, -2.20, 0.21, 0.00, 0.41, 36473
-0.03, -0.09, 1.03, 9.45, -1.10, -1.46, 0.21, -0.00, 0.42, 36483
-0.02, -0.08, 1.02, 7.56, -1.46, -2.07, 0.21, -0.01, 0.42, 36493
-0.02, -0.09, 0.99, 8.29, -4.15, -1.16, 0.21, -0.00, 0.42, 36503
-0.03, -0.08, 1.03, 8.84, -7.07, -1.59, 0.21, -0.00, 0.42, 36513
-0.03, -0.07, 1.08, 5.98, -6.71, -2.62, 0.21, -0.00, 0.41, 36523
-0.02, -0.09, 1.07, 2.32, -5.98, -2.80, 0.21, -0.00, 0.41, 36533
0.03, -0.10, 1.06, 0.12, -6.77, -2.87, 0.21, -0.01, 0.42, 36543
0.07, -0.08, 1.06, -2.87, -0.37, -0.12, 0.21, -0.00, 0.42, 36553
0.04, -0.08, 1.02, -5.73, 1.71, 4.82, 0.21, -0.00, 0.41, 36563
-0.05, -0.08, 0.96, -5.79, 2.32, 6.34, 0.21, -0.00, 0.41, 36573
-0.10, -0.06, 0.95, -3.96, -0.18, 2.93, 0.21, 0.00, 0.41, 36583
-0.09, -0.06, 0.92, -1.77, -1.83, -0.18, 0.21, -0.00, 0.41, 36593
-0.07, -0.06, 0.95, 1.22, -0.67, -1.16, 0.21, -0.00, 0.42, 36603
-0.03, -0.07, 1.01, 2.13, 4.63, -2.38, 0.22, -0.00, 0.42, 36613
0.02, -0.07, 1.02, 0.98, 4.57, -0.43, 0.21, -0.00, 0.41, 36623
0.00, -0.08, 1.02, 1.04, 4.45, 2.99, 0.21, -0.00, 0.41, 36633
-0.04, -0.08, 1.05, -1.16, 5.37, 3.23, 0.21, -0.00, 0.41, 36643
-0.03, -0.06, 1.02, -4.63, 1.04, 2.80, 0.21, -0.00, 0.42, 36653
-0.06, -0.05, 0.99, -4.27, -3.23, 3.11, 0.21, -0.00, 0.42, 36663
-0.10, -0.06, 0.97, -3.17, -6.22, 1.59, 0.21, -0.00, 0.42, 36673
-0.09, -0.06, 0.97, -1.83, -11.71, -2.80, 0.21, -0.00, 0.41, 36683
